Date,IntZone,CA,Positive7Day,Positive7DayQF,DT,Days from 2020-03-01
20200308,S02001682,S12000036,,c,2020-03-08,7
20200308,S02001683,S12000036,,c,2020-03-08,7
20200308,S02001684,S12000036,,c,2020-03-08,7
20200308,S02001685,S12000036,,c,2020-03-08,7
20200308,S02001686,S12000036,,c,2020-03-08,7
20200315,S02001236,S12000033,,c,2020-03-15,14
20200315,S02001237,S12000033,,c,2020-03-15,14
20200315,S02001238,S12000033,,c,2020-03-15,14
20200315,S02001239,S12000033,,c,2020-03-15,14
20200315,S02001240,S12000033,,c,2020-03-15,14
20200315,S02001241,S12000033,,c,2020-03-15,14
20200315,S02001242,S12000033,,c,2020-03-15,14
20200315,S02001243,S12000033,,c,2020-03-15,14
20200315,S02001244,S12000033,,c,2020-03-15,14
20200315,S02001245,S12000033,,c,2020-03-15,14
20200315,S02001246,S12000033,,c,2020-03-15,14
20200315,S02001247,S12000033,,c,2020-03-15,14
20200315,S02001248,S12000033,,c,2020-03-15,14
20200315,S02001249,S12000033,,c,2020-03-15,14
20200315,S02001250,S12000033,,c,2020-03-15,14
20200315,S02001251,S12000033,,c,2020-03-15,14
20200315,S02001252,S12000033,,c,2020-03-15,14
20200315,S02001253,S12000033,,c,2020-03-15,14
20200315,S02001254,S12000033,,c,2020-03-15,14
20200315,S02001255,S12000033,,c,2020-03-15,14
20200315,S02001256,S12000033,,c,2020-03-15,14
20200315,S02001257,S12000033,,c,2020-03-15,14
20200315,S02001258,S12000033,,c,2020-03-15,14
20200315,S02001259,S12000033,,c,2020-03-15,14
20200315,S02001260,S12000033,,c,2020-03-15,14
20200315,S02001261,S12000033,,c,2020-03-15,14
20200315,S02001262,S12000033,,c,2020-03-15,14
20200315,S02001263,S12000033,,c,2020-03-15,14
20200315,S02001264,S12000033,,c,2020-03-15,14
20200315,S02001265,S12000033,,c,2020-03-15,14
20200315,S02001266,S12000033,,c,2020-03-15,14
20200315,S02001267,S12000033,,c,2020-03-15,14
20200315,S02001268,S12000033,,c,2020-03-15,14
20200315,S02001269,S12000033,,c,2020-03-15,14
20200315,S02001270,S12000033,,c,2020-03-15,14
20200315,S02001271,S12000033,,c,2020-03-15,14
20200315,S02001272,S12000033,,c,2020-03-15,14
20200315,S02001273,S12000033,,c,2020-03-15,14
20200315,S02001274,S12000033,,c,2020-03-15,14
20200315,S02001275,S12000033,,c,2020-03-15,14
20200315,S02001276,S12000033,,c,2020-03-15,14
20200315,S02001277,S12000033,,c,2020-03-15,14
20200315,S02001278,S12000033,,c,2020-03-15,14
20200315,S02001279,S12000033,,c,2020-03-15,14
20200315,S02001280,S12000033,,c,2020-03-15,14
20200315,S02001281,S12000033,,c,2020-03-15,14
20200315,S02001282,S12000033,,c,2020-03-15,14
20200315,S02001283,S12000033,,c,2020-03-15,14
20200315,S02001284,S12000033,,c,2020-03-15,14
20200315,S02001445,S12000042,,c,2020-03-15,14
20200315,S02001446,S12000042,,c,2020-03-15,14
20200315,S02001447,S12000042,,c,2020-03-15,14
20200315,S02001448,S12000042,,c,2020-03-15,14
20200315,S02001449,S12000042,,c,2020-03-15,14
20200315,S02001450,S12000042,,c,2020-03-15,14
20200315,S02001451,S12000042,,c,2020-03-15,14
20200315,S02001452,S12000042,,c,2020-03-15,14
20200315,S02001453,S12000042,,c,2020-03-15,14
20200315,S02001454,S12000042,,c,2020-03-15,14
20200315,S02001455,S12000042,,c,2020-03-15,14
20200315,S02001456,S12000042,,c,2020-03-15,14
20200315,S02001457,S12000042,,c,2020-03-15,14
20200315,S02001458,S12000042,,c,2020-03-15,14
20200315,S02001459,S12000042,,c,2020-03-15,14
20200315,S02001460,S12000042,,c,2020-03-15,14
20200315,S02001461,S12000042,,c,2020-03-15,14
20200315,S02001462,S12000042,,c,2020-03-15,14
20200315,S02001463,S12000042,,c,2020-03-15,14
20200315,S02001464,S12000042,,c,2020-03-15,14
20200315,S02001465,S12000042,,c,2020-03-15,14
20200315,S02001466,S12000042,,c,2020-03-15,14
20200315,S02001467,S12000042,,c,2020-03-15,14
20200315,S02001468,S12000042,,c,2020-03-15,14
20200315,S02001469,S12000042,,c,2020-03-15,14
20200315,S02001470,S12000042,,c,2020-03-15,14
20200315,S02001471,S12000042,,c,2020-03-15,14
20200315,S02001472,S12000042,,c,2020-03-15,14
20200315,S02001473,S12000042,,c,2020-03-15,14
20200315,S02001474,S12000042,,c,2020-03-15,14
20200315,S02001475,S12000042,,c,2020-03-15,14
20200315,S02001506,S12000045,,c,2020-03-15,14
20200315,S02001507,S12000045,,c,2020-03-15,14
20200315,S02001508,S12000045,,c,2020-03-15,14
20200315,S02001509,S12000045,,c,2020-03-15,14
20200315,S02001510,S12000045,,c,2020-03-15,14
20200315,S02001511,S12000045,,c,2020-03-15,14
20200315,S02001512,S12000045,,c,2020-03-15,14
20200315,S02001513,S12000045,,c,2020-03-15,14
20200315,S02001514,S12000045,,c,2020-03-15,14
20200315,S02001515,S12000045,,c,2020-03-15,14
20200315,S02001516,S12000045,,c,2020-03-15,14
20200315,S02001517,S12000045,,c,2020-03-15,14
20200315,S02001518,S12000045,,c,2020-03-15,14
20200315,S02001519,S12000045,,c,2020-03-15,14
20200315,S02001520,S12000045,,c,2020-03-15,14
20200315,S02001521,S12000045,,c,2020-03-15,14
20200315,S02001522,S12000045,,c,2020-03-15,14
20200315,S02001523,S12000045,,c,2020-03-15,14
20200315,S02001524,S12000045,,c,2020-03-15,14
20200315,S02001525,S12000045,,c,2020-03-15,14
20200315,S02001526,S12000045,,c,2020-03-15,14
20200315,S02001527,S12000045,,c,2020-03-15,14
20200315,S02001528,S12000045,,c,2020-03-15,14
20200315,S02001529,S12000045,,c,2020-03-15,14
20200315,S02001530,S12000045,,c,2020-03-15,14
20200315,S02001531,S12000045,,c,2020-03-15,14
20200315,S02001532,S12000045,,c,2020-03-15,14
20200315,S02001533,S12000045,,c,2020-03-15,14
20200315,S02001556,S12000011,,c,2020-03-15,14
20200315,S02001557,S12000011,,c,2020-03-15,14
20200315,S02001558,S12000011,,c,2020-03-15,14
20200315,S02001559,S12000011,,c,2020-03-15,14
20200315,S02001560,S12000011,,c,2020-03-15,14
20200315,S02001561,S12000011,,c,2020-03-15,14
20200315,S02001562,S12000011,,c,2020-03-15,14
20200315,S02001563,S12000011,,c,2020-03-15,14
20200315,S02001564,S12000011,,c,2020-03-15,14
20200315,S02001565,S12000011,,c,2020-03-15,14
20200315,S02001566,S12000011,,c,2020-03-15,14
20200315,S02001567,S12000011,,c,2020-03-15,14
20200315,S02001568,S12000011,,c,2020-03-15,14
20200315,S02001569,S12000011,,c,2020-03-15,14
20200315,S02001570,S12000011,,c,2020-03-15,14
20200315,S02001571,S12000011,,c,2020-03-15,14
20200315,S02001572,S12000011,,c,2020-03-15,14
20200315,S02001573,S12000011,,c,2020-03-15,14
20200315,S02001574,S12000011,,c,2020-03-15,14
20200315,S02001575,S12000011,,c,2020-03-15,14
20200315,S02001576,S12000036,,c,2020-03-15,14
20200315,S02001577,S12000036,,c,2020-03-15,14
20200315,S02001578,S12000036,,c,2020-03-15,14
20200315,S02001579,S12000036,,c,2020-03-15,14
20200315,S02001580,S12000036,,c,2020-03-15,14
20200315,S02001581,S12000036,,c,2020-03-15,14
20200315,S02001582,S12000036,,c,2020-03-15,14
20200315,S02001583,S12000036,,c,2020-03-15,14
20200315,S02001584,S12000036,,c,2020-03-15,14
20200315,S02001585,S12000036,,c,2020-03-15,14
20200315,S02001586,S12000036,,c,2020-03-15,14
20200315,S02001587,S12000036,,c,2020-03-15,14
20200315,S02001588,S12000036,,c,2020-03-15,14
20200315,S02001589,S12000036,,c,2020-03-15,14
20200315,S02001590,S12000036,,c,2020-03-15,14
20200315,S02001591,S12000036,,c,2020-03-15,14
20200315,S02001592,S12000036,,c,2020-03-15,14
20200315,S02001593,S12000036,,c,2020-03-15,14
20200315,S02001594,S12000036,,c,2020-03-15,14
20200315,S02001595,S12000036,,c,2020-03-15,14
20200315,S02001596,S12000036,,c,2020-03-15,14
20200315,S02001597,S12000036,,c,2020-03-15,14
20200315,S02001598,S12000036,,c,2020-03-15,14
20200315,S02001599,S12000036,,c,2020-03-15,14
20200315,S02001600,S12000036,,c,2020-03-15,14
20200315,S02001601,S12000036,,c,2020-03-15,14
20200315,S02001602,S12000036,,c,2020-03-15,14
20200315,S02001603,S12000036,,c,2020-03-15,14
20200315,S02001604,S12000036,,c,2020-03-15,14
20200315,S02001605,S12000036,,c,2020-03-15,14
20200315,S02001606,S12000036,,c,2020-03-15,14
20200315,S02001607,S12000036,,c,2020-03-15,14
20200315,S02001608,S12000036,,c,2020-03-15,14
20200315,S02001609,S12000036,,c,2020-03-15,14
20200315,S02001610,S12000036,,c,2020-03-15,14
20200315,S02001611,S12000036,,c,2020-03-15,14
20200315,S02001612,S12000036,,c,2020-03-15,14
20200315,S02001613,S12000036,,c,2020-03-15,14
20200315,S02001614,S12000036,,c,2020-03-15,14
20200315,S02001615,S12000036,,c,2020-03-15,14
20200315,S02001616,S12000036,,c,2020-03-15,14
20200315,S02001617,S12000036,,c,2020-03-15,14
20200315,S02001618,S12000036,,c,2020-03-15,14
20200315,S02001619,S12000036,,c,2020-03-15,14
20200315,S02001620,S12000036,,c,2020-03-15,14
20200315,S02001621,S12000036,,c,2020-03-15,14
20200315,S02001622,S12000036,,c,2020-03-15,14
20200315,S02001623,S12000036,,c,2020-03-15,14
20200315,S02001624,S12000036,,c,2020-03-15,14
20200315,S02001625,S12000036,,c,2020-03-15,14
20200315,S02001626,S12000036,,c,2020-03-15,14
20200315,S02001627,S12000036,,c,2020-03-15,14
20200315,S02001628,S12000036,,c,2020-03-15,14
20200315,S02001629,S12000036,,c,2020-03-15,14
20200315,S02001630,S12000036,,c,2020-03-15,14
20200315,S02001631,S12000036,,c,2020-03-15,14
20200315,S02001632,S12000036,,c,2020-03-15,14
20200315,S02001633,S12000036,,c,2020-03-15,14
20200315,S02001634,S12000036,,c,2020-03-15,14
20200315,S02001635,S12000036,,c,2020-03-15,14
20200315,S02001636,S12000036,,c,2020-03-15,14
20200315,S02001637,S12000036,,c,2020-03-15,14
20200315,S02001638,S12000036,,c,2020-03-15,14
20200315,S02001639,S12000036,,c,2020-03-15,14
20200315,S02001640,S12000036,,c,2020-03-15,14
20200315,S02001641,S12000036,,c,2020-03-15,14
20200315,S02001642,S12000036,,c,2020-03-15,14
20200315,S02001643,S12000036,,c,2020-03-15,14
20200315,S02001644,S12000036,,c,2020-03-15,14
20200315,S02001645,S12000036,,c,2020-03-15,14
20200315,S02001646,S12000036,,c,2020-03-15,14
20200315,S02001647,S12000036,,c,2020-03-15,14
20200315,S02001648,S12000036,,c,2020-03-15,14
20200315,S02001649,S12000036,,c,2020-03-15,14
20200315,S02001650,S12000036,,c,2020-03-15,14
20200315,S02001651,S12000036,,c,2020-03-15,14
20200315,S02001652,S12000036,,c,2020-03-15,14
20200315,S02001653,S12000036,,c,2020-03-15,14
20200315,S02001654,S12000036,,c,2020-03-15,14
20200315,S02001655,S12000036,,c,2020-03-15,14
20200315,S02001656,S12000036,,c,2020-03-15,14
20200315,S02001657,S12000036,,c,2020-03-15,14
20200315,S02001658,S12000036,,c,2020-03-15,14
20200315,S02001659,S12000036,,c,2020-03-15,14
20200315,S02001660,S12000036,,c,2020-03-15,14
20200315,S02001661,S12000036,,c,2020-03-15,14
20200315,S02001662,S12000036,,c,2020-03-15,14
20200315,S02001663,S12000036,,c,2020-03-15,14
20200315,S02001664,S12000036,,c,2020-03-15,14
20200315,S02001665,S12000036,,c,2020-03-15,14
20200315,S02001666,S12000036,,c,2020-03-15,14
20200315,S02001667,S12000036,,c,2020-03-15,14
20200315,S02001668,S12000036,,c,2020-03-15,14
20200315,S02001669,S12000036,,c,2020-03-15,14
20200315,S02001670,S12000036,,c,2020-03-15,14
20200315,S02001671,S12000036,,c,2020-03-15,14
20200315,S02001672,S12000036,,c,2020-03-15,14
20200315,S02001673,S12000036,,c,2020-03-15,14
20200315,S02001674,S12000036,,c,2020-03-15,14
20200315,S02001675,S12000036,,c,2020-03-15,14
20200315,S02001676,S12000036,,c,2020-03-15,14
20200315,S02001677,S12000036,,c,2020-03-15,14
20200315,S02001678,S12000036,,c,2020-03-15,14
20200315,S02001679,S12000036,,c,2020-03-15,14
20200315,S02001680,S12000036,,c,2020-03-15,14
20200315,S02001681,S12000036,,c,2020-03-15,14
20200315,S02001682,S12000036,,c,2020-03-15,14
20200315,S02001683,S12000036,,c,2020-03-15,14
20200315,S02001684,S12000036,,c,2020-03-15,14
20200315,S02001685,S12000036,,c,2020-03-15,14
20200315,S02001686,S12000036,,c,2020-03-15,14
20200315,S02001738,S12000047,,c,2020-03-15,14
20200315,S02001739,S12000047,,c,2020-03-15,14
20200315,S02001740,S12000047,,c,2020-03-15,14
20200315,S02001741,S12000047,,c,2020-03-15,14
20200315,S02001742,S12000047,,c,2020-03-15,14
20200315,S02001743,S12000047,,c,2020-03-15,14
20200315,S02001744,S12000047,,c,2020-03-15,14
20200315,S02001745,S12000047,,c,2020-03-15,14
20200315,S02001746,S12000047,,c,2020-03-15,14
20200315,S02001747,S12000047,,c,2020-03-15,14
20200315,S02001748,S12000047,,c,2020-03-15,14
20200315,S02001749,S12000047,,c,2020-03-15,14
20200315,S02001750,S12000047,,c,2020-03-15,14
20200315,S02001751,S12000047,,c,2020-03-15,14
20200315,S02001752,S12000047,,c,2020-03-15,14
20200315,S02001753,S12000047,,c,2020-03-15,14
20200315,S02001754,S12000047,,c,2020-03-15,14
20200315,S02001755,S12000047,,c,2020-03-15,14
20200315,S02001756,S12000047,,c,2020-03-15,14
20200315,S02001757,S12000047,,c,2020-03-15,14
20200315,S02001758,S12000047,,c,2020-03-15,14
20200315,S02001759,S12000047,,c,2020-03-15,14
20200315,S02001760,S12000047,,c,2020-03-15,14
20200315,S02001761,S12000047,,c,2020-03-15,14
20200315,S02001762,S12000047,,c,2020-03-15,14
20200315,S02001763,S12000047,,c,2020-03-15,14
20200315,S02001764,S12000047,,c,2020-03-15,14
20200315,S02001765,S12000047,,c,2020-03-15,14
20200315,S02001766,S12000047,,c,2020-03-15,14
20200315,S02001767,S12000047,,c,2020-03-15,14
20200315,S02001768,S12000047,,c,2020-03-15,14
20200315,S02001769,S12000047,,c,2020-03-15,14
20200315,S02001770,S12000047,,c,2020-03-15,14
20200315,S02001771,S12000047,,c,2020-03-15,14
20200315,S02001772,S12000047,,c,2020-03-15,14
20200315,S02001773,S12000047,,c,2020-03-15,14
20200315,S02001774,S12000047,,c,2020-03-15,14
20200315,S02001775,S12000047,,c,2020-03-15,14
20200315,S02001776,S12000047,,c,2020-03-15,14
20200315,S02001777,S12000047,,c,2020-03-15,14
20200315,S02001778,S12000047,,c,2020-03-15,14
20200315,S02001779,S12000047,,c,2020-03-15,14
20200315,S02001780,S12000047,,c,2020-03-15,14
20200315,S02001781,S12000047,,c,2020-03-15,14
20200315,S02001782,S12000047,,c,2020-03-15,14
20200315,S02001783,S12000047,,c,2020-03-15,14
20200315,S02001784,S12000047,,c,2020-03-15,14
20200315,S02001785,S12000047,,c,2020-03-15,14
20200315,S02001786,S12000047,,c,2020-03-15,14
20200315,S02001787,S12000047,,c,2020-03-15,14
20200315,S02001788,S12000047,,c,2020-03-15,14
20200315,S02001789,S12000047,,c,2020-03-15,14
20200315,S02001790,S12000047,,c,2020-03-15,14
20200315,S02001791,S12000047,,c,2020-03-15,14
20200315,S02001792,S12000047,,c,2020-03-15,14
20200315,S02001793,S12000047,,c,2020-03-15,14
20200315,S02001794,S12000047,,c,2020-03-15,14
20200315,S02001795,S12000047,,c,2020-03-15,14
20200315,S02001796,S12000047,,c,2020-03-15,14
20200315,S02001797,S12000047,,c,2020-03-15,14
20200315,S02001798,S12000047,,c,2020-03-15,14
20200315,S02001799,S12000047,,c,2020-03-15,14
20200315,S02001800,S12000047,,c,2020-03-15,14
20200315,S02001801,S12000047,,c,2020-03-15,14
20200315,S02001802,S12000047,,c,2020-03-15,14
20200315,S02001803,S12000047,,c,2020-03-15,14
20200315,S02001804,S12000047,,c,2020-03-15,14
20200315,S02001805,S12000047,,c,2020-03-15,14
20200315,S02001806,S12000047,,c,2020-03-15,14
